customer_id,first_name,last_name,gender,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,postcode
1,Laraine,Medendorp,F,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,2016
2,Eli,Bockman,Male,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,2153
3,Arlin,Dearle,Male,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,4211
4,Talbot,,Male,1961-10-03,,IT,Mass Customer,N,No,2448
5,Sheila-kathryn,Calton,Female,1977-05-13,Senior Editor,,Affluent Customer,N,Yes,3216
6,Curr,Duckhouse,Male,1966-09-16,,Retail,High Net Worth,N,Yes,2210
7,Fina,Merali,Female,1976-02-23,,Financial Services,Affluent Customer,N,Yes,2650
8,Rod,Inder,Male,1962-03-30,Media Manager I,,Mass Customer,N,No,2023
9,Mala,Lind,Female,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,3044
10,Fiorenze,Birdall,Female,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,4557
11,Uriah,Bisatt,Male,1954-04-30,,Property,Mass Customer,N,No,3799
12,Sawyere,Flattman,Male,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,2760
13,Gabriele,Norcross,Male,1955-02-15,Developer I,Financial Services,High Net Worth,N,Yes,2428
14,Rayshell,Kitteman,Female,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,No,3331
15,Erroll,Radage,Male,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,No,3058
16,Harlin,Parr,Male,1977-02-27,Media Manager IV,,Mass Customer,N,Yes,2135
17,Heath,Faraday,Male,1962-03-19,Sales Associate,,Affluent Customer,N,Yes,2233
18,Marjie,Neasham,Female,1967-07-06,Professor,,Affluent Customer,N,No,2444
19,Sorcha,Keyson,Female,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,No,2650
20,Basile,Firth,Male,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,No,2153
21,Mile,Cammocke,Male,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,4413
22,Deeanne,Durtnell,Female,1962-12-10,,IT,Mass Customer,N,No,4740
23,Olav,Polak,Male,1995-02-10,,,High Net Worth,N,Yes,3218
24,Kim,Skpsey,Female,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,Yes,4868
25,Geoff,Assaf,Male,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,4116
26,Trixi,Ginnelly,Female,1978-06-10,Editor,Financial Services,Mass Customer,N,Yes,2519
27,Garvin,Klees,Male,1978-09-25,Research Nurse,Health,Mass Customer,N,Yes,2135
28,Fee,Zellmer,Male,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,Yes,2756
29,Mona,Sancraft,Female,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,No,2170
30,Darrick,Helleckas,Male,1961-10-18,,IT,Affluent Customer,N,Yes,4005
31,Star,Praton,Female,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,4127
32,Marion,Vanichkin,Female,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,2535
33,Ernst,Hacon,Male,1957-06-25,Product Engineer,,Affluent Customer,N,Yes,4726
34,Jephthah,Bachmann,U,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,4805
35,Margaretha,Strettle,Female,1963-09-28,Information Systems Manager,Health,High Net Worth,N,Yes,2212
36,Lurette,Stonnell,Female,1977-11-09,VP Quality Control,,Affluent Customer,N,No,2207
37,Laurie,Dwerryhouse,Female,1985-12-22,Social Worker,Health,High Net Worth,N,No,3350
38,Cordi,Merman,Female,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,3931
39,Hunfredo,Smalley,Male,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,N,No,4018
40,Tomasine,Jerche,Female,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,4670
41,Basilius,Coupe,Male,1976-04-14,Food Chemist,Health,Mass Customer,N,No,2480
42,Chiquita,Durnall,Female,1977-03-28,Accountant III,Manufacturing,Mass Customer,N,No,3212
43,Indira,Belt,Female,1983-03-01,Director of Sales,Retail,Mass Customer,N,No,2322
44,Neron,Verick,Male,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,3198
45,Trace,Woodhead,Male,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,N,No,2210
46,Kaila,Allin,Female,1972-02-26,,,Affluent Customer,N,Yes,2047
47,Matthew,Jeaycock,Male,1992-10-22,Registered Nurse,Health,Affluent Customer,N,No,4503
48,Rebbecca,Casone,Female,1975-08-15,Biostatistician II,,Mass Customer,N,Yes,2145
49,Nolly,Ownsworth,Male,1994-01-26,VP Quality Control,,Affluent Customer,N,No,4350
50,Whitby,Schapero,Male,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,Yes,2142
51,Fidelio,Dilke,Male,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,No,2029
52,Curran,Bentson,Male,1988-06-22,,Financial Services,Mass Customer,N,Yes,2127
53,Agnella,Gocke,Female,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,No,4280
54,Loralyn,Wonfor,Femal,1966-07-24,Sales Associate,Property,Mass Customer,N,Yes,2166
55,Linc,Jillions,Male,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,Yes,2046
56,Reese,Ensor,Male,1996-07-04,VP Sales,Property,Mass Customer,N,Yes,2026
57,Abba,Masedon,M,1988-06-13,Chief Design Engineer,,Mass Customer,N,Yes,2765
58,Dalenna,Pinnock,Female,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,N,Yes,2749
59,Niki,Heathcote,Male,2000-02-08,Physical Therapy Assistant,,High Net Worth,N,No,2745
60,Nadiya,Champerlen,Female,1970-02-04,,Manufacturing,Mass Customer,N,No,3752
61,Kacey,Rowbottom,Female,1959-11-29,Help Desk Operator,Property,High Net Worth,N,No,2153
62,Sorcha,Roggers,Female,1979-07-06,,IT,Mass Customer,N,Yes,2217
63,Ebony,Zini,Female,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,Yes,2230
64,Gerek,Yve,Male,1978-03-25,Legal Assistant,IT,High Net Worth,N,No,3046
65,Yale,Tanser,Male,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,3183
66,Anselm,Gawne,Male,2002-03-11,Account Executive,Argiculture,High Net Worth,N,No,2070
67,Vernon,,Male,1960-06-14,Web Developer II,Retail,Mass Customer,N,No,2213
68,Dahlia,Eddoes,Female,1974-04-21,Information Systems Manager,,Affluent Customer,N,No,4208
69,Heidi,Milner,Female,1969-06-22,Web Developer II,,Mass Customer,N,No,2774
70,Foster,Vannoort,Male,1993-02-27,Paralegal,Financial Services,Affluent Customer,N,No,4133
71,Hoyt,Glavias,Male,1985-01-27,Research Associate,Argiculture,Affluent Customer,N,Yes,2756
72,Sammy,Cheese,Male,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,4213
73,Minette,Worters,Female,1960-05-27,Teacher,,Affluent Customer,N,Yes,4170
74,Pansy,Kiddie,Female,1969-06-19,,,Mass Customer,N,Yes,2153
75,Dollie,Sealy,Female,1978-07-15,VP Product Management,Property,Mass Customer,N,No,2073
76,Rea,Hasser,Female,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,3561
77,Shermie,Andrin,Male,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,N,No,2330
78,Arch,Van der Kruis,Male,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,3977
79,Tybi,Silliman,Female,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,No,2204
80,Pablo,Small,Male,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,No,2086
81,Bee,Blazewicz,Female,1986-09-04,,Health,High Net Worth,N,No,2226
82,Gleda,Cokely,Female,1965-06-28,Software Test Engineer III,Property,High Net Worth,N,No,2075
83,Kerr,Simmell,Male,1967-02-26,Internal Auditor,IT,Mass Customer,N,Yes,2038
84,Rich,Mathiasen,Male,1958-02-07,Accountant III,,Mass Customer,N,Yes,2069
85,Kane,Tixall,Male,1958-05-21,Analyst Programmer,,Mass Customer,N,No,2100
86,Job,Sleney,Male,1989-03-04,Occupational Therapist,Health,High Net Worth,N,Yes,2233
87,Fields,Langdon,Male,1974-04-23,Editor,Financial Services,Mass Customer,N,No,2166
88,Malynda,Tumber,Female,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Yes,3133
89,Benedicto,Hoxey,Male,1967-01-22,Speech Pathologist,Health,Mass Customer,N,Yes,3070
90,Cary,Garron,Male,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,No,2777
91,Dylan,Meaker,Male,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,3133
92,Jodee,Judkins,Female,1980-09-11,Recruiting Manager,Health,Mass Customer,N,No,2125
93,Gordon,Gowar,Male,1976-07-16,Project Manager,Retail,Mass Customer,N,Yes,2766
94,Wallache,Simchenko,Male,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,N,No,2209
95,Nomi,Mallinder,Female,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,2160
96,Heath,Olford,Male,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,2065
97,Arne,Corain,Male,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,2150
98,Allianora,Babalola,Female,1956-03-17,Safety Technician IV,Health,Mass Customer,N,No,2168
99,Reggie,Mulliner,Male,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,No,2046
100,Tripp,Steed,Male,1968-05-11,General Manager,Financial Services,Mass Customer,N,Yes,4171
101,Goran,Kwietek,Male,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,No,2155
102,Langsdon,Tranfield,Male,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,2517
103,Ethyl,Runham,Female,1997-04-21,Product Engineer,Financial Services,Affluent Customer,N,Yes,2096
104,Odille,Panketh,Female,1978-06-06,Automation Specialist II,Health,Mass Customer,N,Yes,2750
105,Maribeth,Pristnor,Female,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,No,2217
106,Glyn,,Male,1966-07-03,Software Test Engineer III,Health,High Net Worth,N,Yes,3977
107,Pris,Stallebrass,Female,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,2093
108,Kayle,Mingaud,Female,1994-03-14,,,High Net Worth,N,No,3204
109,Cody,Blabey,Male,1978-12-11,Marketing Assistant,,Affluent Customer,N,Yes,4300
110,Sascha,St. Quintin,Male,2000-07-31,,Financial Services,Affluent Customer,N,No,2170
111,Cele,Evason,Female,1993-08-29,Analyst Programmer,,Mass Customer,N,No,3844
112,Shena,Parren,Female,1975-08-12,Marketing Manager,Retail,High Net Worth,N,No,2168
113,Gage,Nickless,Male,1956-05-06,Staff Scientist,,Mass Customer,N,No,4226
114,Sunny,Swindells,Female,1985-10-23,Teacher,Entertainment,Affluent Customer,N,No,3192
115,Alberik,Mereweather,Male,1981-12-21,Account Executive,Health,Mass Customer,N,No,3070
116,Scottie,Swiffen,Male,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2485
117,Nance,Suttling,Female,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,N,No,2097
118,Prentice,Pearmain,Male,1959-11-12,Budget/Accounting Analyst IV,,High Net Worth,N,No,4817
119,Willey,Chastanet,Male,1981-12-04,Associate Professor,,High Net Worth,N,Yes,2516
120,Sloan,Wagg,Male,1978-09-02,Legal Assistant,Financial Services,High Net Worth,N,Yes,3074
121,Myles,Pauncefort,Male,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,N,No,2213
122,Colver,Itter,Male,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,4508
123,Almeta,Kalinsky,Female,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,N,No,4405
124,Kath,Cunney,Female,1995-05-03,Administrative Assistant II,Health,High Net Worth,N,Yes,2452
125,Darrelle,Antoniewski,Female,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,N,No,2142
126,Norman,Cliff,Male,1992-10-15,Administrative Officer,Health,Mass Customer,N,Yes,2205
127,Merrili,Whitear,Female,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,N,No,4132
128,Isidro,Cypler,Male,1977-07-17,Systems Administrator III,Property,Mass Customer,N,Yes,2145
129,Weidar,Silkstone,Male,1985-07-20,Financial Advisor,Financial Services,High Net Worth,N,Yes,4744
130,Raddy,Delete,Male,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,2158
131,Jana,Renyard,Female,1964-10-16,Administrative Officer,Retail,High Net Worth,N,No,3201
132,Celesta,Willavoys,Female,1963-07-07,Web Designer I,Manufacturing,Mass Customer,N,Yes,4178
133,Eldridge,Fiddeman,Male,1977-06-13,VP Accounting,Financial Services,Mass Customer,N,Yes,2112
134,Merna,McCulloch,Female,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,2033
135,Rosalia,Sigart,Female,1975-01-18,Internal Auditor,IT,Mass Customer,N,No,4401
136,Mel,Bennet,Male,1973-05-26,Senior Developer,Manufacturing,High Net Worth,N,Yes,3186
137,Vaughn,Artin,Male,1987-11-21,Office Assistant II,Property,High Net Worth,N,No,2097
138,Onofredo,Franc,Male,1985-04-28,Recruiter,Financial Services,Affluent Customer,N,Yes,3058
139,Gar,,Male,1964-07-28,Operator,Telecommunications,Affluent Customer,N,No,4017
140,Morrie,Flaxon,Male,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2315
141,Townsend,Trobe,Male,1954-06-25,Teacher,Financial Services,High Net Worth,N,Yes,2285
142,Bentley,Fortesquieu,Male,1967-08-07,Quality Engineer,Health,Affluent Customer,N,No,2219
